timestamp,value,label
2014/4/10 0:04,91.958,0
2014/4/10 0:09,94.798,0
2014/4/10 0:14,92.208,0
2014/4/10 0:19,93.722,0
2014/4/10 0:24,93.042,0
2014/4/10 0:29,92.958,0
2014/4/10 0:34,95.708,0
2014/4/10 0:39,95.25,0
2014/4/10 0:44,94.458,0
2014/4/10 0:49,92.75,0
2014/4/10 0:54,94.208,0
2014/4/10 0:59,92.75,0
2014/4/10 1:04,94.376,0
2014/4/10 1:09,92.792,0
2014/4/10 1:14,91.666,0
2014/4/10 1:19,87.542,1
2014/4/10 1:24,90.75,1
2014/4/10 1:29,91.65,0
2014/4/10 1:34,90.062,0
2014/4/10 1:39,93.416,0
2014/4/10 1:44,89.904,1
2014/4/10 1:49,90.542,1
2014/4/10 1:54,90.628,1
2014/4/10 1:59,91.166,0
2014/4/10 2:04,90.5,0
